official_json_row_1based,group,fig,control,shift,condition,channel,direction,status_in,data1_in,status_out,data1_out,decoded_actions,implementation,finding
1,BROWSER,B1-L,Rotary Selector,,,7,IN,B6,40,,,browse,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
2,BROWSER,B1-L,Rotary Selector,+SHIFT,,7,IN,B6,64,,,zoom,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
3,BROWSER,B1-L,Rotary Selector,,DECK 1,7,IN,96,46,,,load,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
4,BROWSER,B1-L,Rotary Selector,+SHIFT,DECK 1,7,IN,96,5D,,,,未デコード,公式入力を渡してもアクションなし。
5,BROWSER,B1-L,Rotary Selector,,DECK 3,7,IN,96,48,,,load,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
6,BROWSER,B1-L,Rotary Selector,+SHIFT,DECK 3,7,IN,96,5E,,,,未デコード,公式入力を渡してもアクションなし。
7,BROWSER,B1-R,Rotary Selector,,,7,IN,B6,40,,,browse,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
8,BROWSER,B1-R,Rotary Selector,+SHIFT,,7,IN,B6,64,,,zoom,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
9,BROWSER,B1-R,Rotary Selector,,DECK 2,7,IN,96,47,,,load,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
10,BROWSER,B1-R,Rotary Selector,+SHIFT,DECK 2,7,IN,96,6D,,,,未デコード,公式入力を渡してもアクションなし。
11,BROWSER,B1-R,Rotary Selector,,DECK 4,7,IN,96,49,,,load,動作経路あり,デコーダーからruntime/UI処理あり。公式機能との完全同等性・実機音声/LEDはこの監査では未検証。
12,BROWSER,B1-R,Rotary Selector,+SHIFT,DECK 4,7,IN,96,6F,,,,未デコード,公式入力を渡してもアクションなし。
